segment_name,Dice
Cerebral-White-Matter,0.9010252417222017
Cerebral-Cortex,0.8838604023827037
Lateral-Ventricle,0.8336301190480986
Cerebellum-Cortex,0.886660884673938
Thalamus-Proper*,0.8633612312632395
Caudate,0.8060475048688807
Putamen,0.8253455050071072
Pallidum,0.7877863025539595
3rd-Ventricle,0.9009574669936448
4th-Ventricle,0.8667167442522169
Brain-Stem,0.9186869536000692
Hippocampus,0.8457031087101365
Amygdala,0.8126397860534964
Accumbens-area,0.6165002122308456
VentralDC,0.7988042443495789
