segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
2,Left-Cerebral-White-Matter,,1.0,,,0.0,0.0,,1.0,,,0,0,1.0
3,Left-Cerebral-Cortex,0.7204719295272461,0.99014064056218,0.28333385097015096,0.2727600516525768,0.004932883686740417,0.005125247866613725,0.6186377048794185,0.9950671163132596,0.716666149029849,0.7272399483474232,161306,162535,0.9948747521333864
4,Left-Lateral-Ventricle,0.6921479602632274,0.9996179216488723,0.3157679693589866,0.2991548463059811,0.00016214941293193685,0.00022023515935579163,0.6382486138055409,0.9998378505870681,0.6842320306410135,0.7008451536940189,5847,6266,0.9997797648406442
8,Left-Cerebellum-Cortex,0.7436217443576809,0.9988219481647499,0.2559602812968782,0.25651496481136515,0.0006237929990680805,0.0005572930579532398,0.709942691843002,0.9993762070009319,0.7440397187031218,0.7434850351886347,28565,28084,0.9994427069420468
10,Left-Thalamus-Proper*,0.716341903468299,0.9994912777010266,0.2876490818103466,0.27955146030605793,0.0002458962984118356,0.0002632829596766473,0.6852970588747704,0.9997541037015881,0.7123509181896535,0.7204485396939421,6742,6867,0.9997367170403233
11,Left-Caudate,0.6961273732670423,0.9998455899378371,0.32124944653419674,0.2843251392973148,7.192684282845745e-05,8.25249140418427e-05,0.6508273897734098,0.9999280731571716,0.6787505534658033,0.7156748607026853,2604,2680,0.9999174750859583
12,Left-Putamen,0.6672836882402913,0.999818204655512,0.33247180392040254,0.3303455863111291,0.00010783372417667732,7.401479904745045e-05,0.6022858886706289,0.9998921662758232,0.6675281960795975,0.6696544136888709,3082,2837,0.9999259852009525
13,Left-Pallidum,0.6212945905953047,0.99993117327274,0.392888057599733,0.32300743957893807,3.76727602094431e-05,3.11618691226645e-05,0.5415042761215002,0.9999623272397906,0.6071119424002671,0.6769925604210619,1090,1043,0.9999688381308773
14,3rd-Ventricle,0.9052368864759669,0.9999851821734068,0.0948162649195338,0.09414471284605572,7.5133881583907875e-06,7.305618974995376e-06,0.8282500218909259,0.9999924866118416,0.9051837350804661,0.9058552871539443,584,583,0.999992694381025
15,4th-Ventricle,0.8970914224926082,0.9999811315058568,0.09580145168223256,0.10832516104843654,1.0006453176139612e-05,8.863902556693892e-06,0.8168714545314693,0.9999899935468239,0.9041985483177675,0.8916748389515635,730,722,0.9999911360974434
16,Brain-Stem,0.9597039380981465,0.9998936786320847,0.031017450333027996,0.04915294729379188,6.493124620451337e-05,4.153389827429854e-05,0.9227606725698936,0.9999350687537955,0.968982549666972,0.9508470527062082,10010,9841,0.9999584661017257
