reference,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,41,Right-Cerebral-White-Matter,,1.0,,,0.0,0.0,,1.0,,,0,0,1.0
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,42,Right-Cerebral-Cortex,0.3690781450326777,0.9776472393419666,0.6781119391282411,0.5675182983245239,0.008757254893479456,0.01398479077722048,0.22630032451191395,0.9912427451065206,0.32188806087175886,0.4324817016754761,109163,146669,0.9860152092227795
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,43,Right-Lateral-Ventricle,0.1410877759827679,0.9988955872235437,0.8478159851301115,0.8685003011443485,0.0005994406329294938,0.0005056782442363073,0.07589803012746234,0.9994005593670705,0.15218401486988847,0.13149969885565146,4981,4304,0.9994943217557637
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,47,Right-Cerebellum-Cortex,0.24350622349125384,0.9962209002812894,0.7776990433770309,0.730816376562883,0.001655817893359162,0.0021326309045353042,0.13863198762665319,0.9983441821066409,0.2223009566229691,0.26918362343711694,16316,19757,0.9978673690954647
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,49,Right-Thalamus-Proper*,0.0037256562235393736,0.99837059301219,0.9963672391017173,0.9961765728189086,0.0007944586371458477,0.0008362810137044763,0.0018663047166610112,0.9992055413628541,0.003632760898282695,0.0038234271810914148,5754,6056,0.9991637189862955
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,50,Right-Caudate,0.0,0.9995474331092841,1.0,1.0,0.0002581850477614636,0.0001944822450453687,0.0,0.9997418149522386,0.0,0.0,1864,1404,0.9998055177549546
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,51,Right-Putamen,0.33275742916378714,0.9994651733990377,0.7235142118863049,0.5822125813449024,0.00018593569645318655,0.00034909202134947304,0.19958549222797928,0.9998140643035468,0.27648578811369506,0.4177874186550976,2305,3483,0.9996509079786505
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,52,Right-Pallidum,0.017488076311605722,0.9998288333301943,0.9826771653543307,0.9823434991974318,8.475988231672026e-05,8.642169716421844e-05,0.008821170809943865,0.9999152401176833,0.01732283464566929,0.01765650080256822,623,635,0.9999135783028358
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,53,Right-Hippocampus,0.26678821027043453,0.9996658372376691,0.7621885157096424,0.6961937716262976,0.00013935089080680286,0.0001948864941997419,0.15392706872370265,0.9998606491091931,0.23781148429035753,0.3038062283737024,1445,1846,0.9998051135058003
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,54,Right-Amygdala,0.09902912621359224,0.9998714865132851,0.9053803339517625,0.8961303462321792,6.0937667275627856e-05,6.758496350900423e-05,0.05209397344228805,0.9999390623327243,0.09461966604823747,0.10386965376782077,491,539,0.999932415036491
