segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
2,Left-Cerebral-White-Matter,0.898284701250134,0.9955268011439802,0.09415602348665592,0.10656012589796034,0.0024634914546376695,0.002139800300731731,0.8167235909671542,0.9975365085453622,0.9058439765133441,0.8934398741020397,120801.6,118786.3,0.9978601996992683
3,Left-Cerebral-Cortex,0.8877526290876967,0.9938594910780489,0.12747336234619971,0.093690937979815,0.0027644319691837484,0.0036007407091723674,0.7997720160802101,0.9972355680308163,0.8725266376538002,0.906309062020185,148790.3,154640.6,0.9963992592908276
4,Left-Lateral-Ventricle,0.8359708964963091,0.9997014264463175,0.16787254948081448,0.14957897032000522,0.00017301191129164876,0.00012611886311235664,0.7623980826107847,0.9998269880887083,0.8321274505191856,0.8504210296799949,5345.4,5372.4,0.9998738811368877
8,Left-Cerebellum-Cortex,0.8919413126634919,0.9990954010193841,0.10354143731389105,0.11208485109623163,0.0005071217090096708,0.0004017000395407644,0.845854418063729,0.9994928782909904,0.8964585626861089,0.8879151489037683,28098.9,27761.4,0.9995982999604592
10,Left-Thalamus-Proper*,0.8661822054923378,0.9997027258584394,0.13299744205141298,0.13325786566341188,0.00015208493928425444,0.00014561399134667142,0.8245165557786919,0.9998479150607157,0.8670025579485869,0.8667421343365881,7231.3,7153.7,0.9998543860086533
11,Left-Caudate,0.8125169261856421,0.9998569232972695,0.16241612050555118,0.2092691158160001,8.180767432904104e-05,6.133297972255036e-05,0.744815129943224,0.999918192325671,0.8375838794944487,0.790730884184,2650.5,2538.3,0.9999386670202774
12,Left-Putamen,0.8267920662806387,0.9998342823806464,0.18535492644455087,0.1462787210227946,8.21200142417734e-05,8.368860045364635e-05,0.7232153844082342,0.9999178799857582,0.8146450735554491,0.8537212789772054,2986.4,3040.4,0.9999163113995463
13,Left-Pallidum,0.7896047700905171,0.9999355945442886,0.17950088027851274,0.2290607932796355,3.614646481232517e-05,2.8273138200252124e-05,0.6848621639442293,0.9999638535351876,0.8204991197214874,0.7709392067203645,1059.8,976.1,0.9999717268617998
14,3rd-Ventricle,0.9038757662686653,0.9999763119302113,0.08355414863619684,0.10764350399927584,1.4090847872238204e-05,9.600911610230245e-06,0.825996304594468,0.9999859091521277,0.9164458513638032,0.8923564960007241,613.7,594.6,0.9999903990883899
15,4th-Ventricle,0.8723424688754458,0.9999702952390424,0.1179996664321846,0.13175396053076743,1.6658705492043537e-05,1.3049835146705657e-05,0.7789432823414744,0.9999833412945079,0.8820003335678154,0.8682460394692326,642.1,630.4,0.9999869501648533
16,Brain-Stem,0.9214453721784557,0.9997574686272926,0.09794157403063256,0.04504193329283068,8.740492540898937e-05,0.0001555955604257586,0.8650199334273475,0.999912595074591,0.9020584259693674,0.9549580667071693,9298.0,9879.9,0.9998444044395743
17,Left-Hippocampus,0.8547084218516157,0.9998851284604513,0.12921759496097704,0.15458477064946277,6.722014053666409e-05,4.7707907315441836e-05,0.759688239374913,0.9999327798594633,0.8707824050390229,0.8454152293505371,2277.4,2176.3,0.9999522920926844
18,Left-Amygdala,0.8311631110362556,0.9999608130872314,0.15826384619040268,0.17455632952757055,2.289052731176544e-05,1.630188535495236e-05,0.7325011674712045,0.9999771094726884,0.8417361538095973,0.8254436704724295,711.6,681.3,0.9999836981146452
26,Left-Accumbens-area,0.615864673275264,0.9999798605062008,0.353409700294424,0.3826726356091411,1.2888125889227002e-05,7.2521565603334e-06,0.48315790265796643,0.9999871118741108,0.6465902997055759,0.6173273643908589,166.6,149.0,0.9999927478434397
28,Left-VentralDC,0.7977886607166365,0.9999180224875257,0.19200954278051036,0.2014375831833397,4.420201718317328e-05,3.779574445994527e-05,0.7215356107807029,0.9999557979828169,0.8079904572194897,0.7985624168166604,1579.4,1511.5,0.9999622042555402
41,Right-Cerebral-White-Matter,0.9000225260420558,0.9956175759305743,0.09241400279422184,0.10329687942463997,0.002430538700078643,0.002077828897149059,0.8197495581512468,0.9975694612999213,0.9075859972057783,0.89670312057536,121933.0,119946.6,0.997922171102851
42,Right-Cerebral-Cortex,0.8854323359791192,0.9938620341268269,0.127985485736755,0.09640940355260622,0.0027416230910213544,0.003611293936162796,0.7964601216624984,0.9972583769089786,0.872014514263245,0.9035905964473938,146974.0,152906.1,0.9963887060638372
43,Right-Lateral-Ventricle,0.8338094621040103,0.9997226338288391,0.16855559193602856,0.15554840872715694,0.0001640152361186154,0.00011391085136643885,0.7553878875600584,0.9998359847638814,0.8314444080639716,0.8444515912728431,5013.7,4981.5,0.9998860891486337
47,Right-Cerebellum-Cortex,0.8825981362192754,0.9991171099542171,0.11660738696483541,0.11782286413706315,0.00045168763133224927,0.00043501627074188365,0.8366243547021732,0.9995483123686677,0.8833926130351646,0.8821771358629368,27609.8,27717.4,0.9995649837292582
49,Right-Thalamus-Proper*,0.8646945946789467,0.9997409073472223,0.13619177418647674,0.13393064651047912,0.00012672400326815098,0.0001327111432210204,0.8322638279728386,0.9998732759967318,0.8638082258135233,0.866069353489521,6539.6,6626.3,0.9998672888567789
50,Right-Caudate,0.8052954068920997,0.9998700621114738,0.14893754694178435,0.22693245147493896,8.665711297179131e-05,4.3335365995467166e-05,0.7339999306854278,0.9999133428870282,0.8510624530582156,0.7730675485250611,2539.1,2298.8,0.9999566646340045
51,Right-Putamen,0.8265450821585155,0.9998258066958355,0.1898433401731317,0.15345672368510124,7.100558635269756e-05,0.0001032892760372217,0.7494150374832891,0.9999289944136474,0.8101566598268685,0.8465432763148988,3371.8,3620.9,0.9998967107239629
52,Right-Pallidum,0.7769858665242242,0.9999436163984626,0.20053697271400486,0.24247778574107648,2.9507409800737846e-05,2.6887217980375854e-05,0.6876048154022044,0.9999704925901993,0.7994630272859952,0.7575222142589235,891.1,862.4,0.9999731127820196
53,Right-Hippocampus,0.8442227590770008,0.9999042994228683,0.16555870447823162,0.13946099909280907,4.2875343423243224e-05,5.2866163263143305e-05,0.7621439066903388,0.9999571246565768,0.8344412955217683,0.8605390009071912,2008.2,2092.0,0.999947133836737
54,Right-Amygdala,0.804294139172925,0.9999592928775545,0.20267809167415712,0.18661090113214202,1.978761760008747e-05,2.0925143704242367e-05,0.7229948971260842,0.9999802123823999,0.7973219083258429,0.813389098867858,708.3,739.2,0.9999790748562958
