age_months,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
0,2,Left-Cerebral-White-Matter,0.9226738276775226,0.9924146045739337,0.07523850422797396,0.07924218435211478,0.004131888595886278,0.0038457158291854143,0.8564834203464904,0.9958681114041137,0.924761495772026,0.9207578156478853,229747,228477,0.9961542841708146
0,3,Left-Cerebral-Cortex,0.919044181853527,0.9900745655462637,0.08052914828381164,0.08115683286567343,0.005251852962225266,0.005324683205311431,0.850234029416997,0.9947481470377748,0.9194708517161884,0.9188431671343266,286313,286609,0.9946753167946886
0,4,Left-Lateral-Ventricle,0.9272309944313911,0.9994389879085896,0.02981737817738811,0.11133451735334532,0.00046880157963278765,9.440751338546383e-05,0.864356968906826,0.9995311984203672,0.970182621822612,0.8886654826466547,18722,16974,0.9999055924866145
0,8,Left-Cerebellum-Cortex,0.9623339912749885,0.9993220926134972,0.014502704313998915,0.05961634146767092,0.0005584870578652266,0.00012548711565379955,0.9274334069886689,0.9994415129421348,0.9854972956860011,0.9403836585323291,42912,40900,0.9998745128843463
0,10,Left-Thalamus-Proper*,0.9637477299660904,0.9997399719621942,0.04049519708401356,0.03197014126637532,0.00011453468425062706,0.00014642881318049916,0.9300397539854504,0.9998854653157494,0.9595048029159865,0.9680298587336247,16747,16896,0.9998535711868195
0,11,Left-Caudate,0.9279902928780697,0.9998688127618944,0.05187640481210437,0.09082080552861177,8.390608072063315e-05,4.74000685915521e-05,0.8656559121233034,0.9999160939192794,0.9481235951878957,0.9091791944713883,4353,4182,0.9999525999314085
0,12,Left-Putamen,0.9255806296468168,0.9998346827487289,0.055004157306983825,0.09217080900646973,0.00010463580254497059,6.0863260205934466e-05,0.8615491138193274,0.9998953641974551,0.9449958426930162,0.9078291909935303,5322,5117,0.9999391367397941
0,13,Left-Pallidum,0.8934947538337369,0.9999055025260476,0.13325974751734648,0.07797173667002011,3.350541551994439e-05,6.103360853548789e-05,0.8079183747287195,0.9999664945844801,0.8667402524826535,0.9220282633299799,2018,2147,0.9999389663914645
0,14,3rd-Ventricle,0.8891960386205284,0.9999483783550869,0.08716938704001048,0.13191914280256328,3.264444096148279e-05,1.898930753263528e-05,0.8011487106611007,0.9999673555590385,0.9128306129599895,0.8680808571974368,1092,1028,0.9999810106924674
0,15,4th-Ventricle,0.8691698865074909,0.9999524312941503,0.09404845201145817,0.16438791490400256,3.114905764024063e-05,1.6428175134475254e-05,0.768732782369146,0.9999688509423598,0.9059515479885418,0.8356120850959974,887,818,0.9999835718248655
0,16,Brain-Stem,0.9624445991575199,0.9996870704417875,0.026818303901448792,0.048057464948360495,0.0002032724536553545,0.00011096402657367888,0.927615399599701,0.9997967275463446,0.9731816960985512,0.9519425350516395,19788,19357,0.9998890359734263
0,17,Left-Hippocampus,0.904196175701579,0.9998257236202729,0.0749170932740913,0.11562234690875467,0.0001076050485406029,6.682907706062613e-05,0.825176390682788,0.9998923949514594,0.9250829067259088,0.8843776530912453,4363,4172,0.9999331709229393
0,18,Left-Amygdala,0.9225109034267913,0.999955844295467,0.048000540524888224,0.1051413821474399,3.0938869022804056e-05,1.3229269050618608e-05,0.8563439244310863,0.9999690611309772,0.9519994594751118,0.8948586178525602,1371,1288,0.9999867707309493
0,26,Left-Accumbens-area,0.7596951174607851,0.9999622436729355,0.09698490378234903,0.332003585835948,3.071897412466303e-05,7.039910981554431e-06,0.613784446744088,0.9999692810258753,0.903015096217651,0.667996414164052,424,313,0.9999929600890185
0,28,Left-VentralDC,0.9206719044443801,0.9999296068478458,0.10184061917274118,0.055655815787521656,2.411530567924646e-05,4.630886284123781e-05,0.8530429727319062,0.9999758846943207,0.8981593808272588,0.9443441842124783,2025,2129,0.9999536911371587
0,41,Right-Cerebral-White-Matter,0.9287359014216272,0.992933594086634,0.06701036131148941,0.07532469664238939,0.003981190779657307,0.003454575151810746,0.8670191578725334,0.9960188092203427,0.9329896386885106,0.9246753033576106,232395,230050,0.9965454248481893
0,42,Right-Cerebral-Cortex,0.9210605053346075,0.9905924884960524,0.0800390502328639,0.07774056277993763,0.004888477302583334,0.0051179642891420185,0.8537233772346051,0.9951115226974168,0.9199609497671362,0.9222594372200623,277430,278432,0.994882035710858
0,43,Right-Lateral-Ventricle,0.9362358229194863,0.9994746111098312,0.029924460248873797,0.09452349590772763,0.0004324085585189516,9.526923653419006e-05,0.880121160924202,0.999567591441481,0.9700755397511263,0.9054765040922723,19935,18362,0.9999047307634659
0,47,Right-Cerebellum-Cortex,0.9672342309510197,0.9994136037112976,0.02030740900873168,0.04488841463842691,0.00041216104114107994,0.00017952316665292845,0.9365566826558736,0.9995878389588588,0.9796925909912684,0.955111585361573,42300,41219,0.9998204768333471
0,49,Right-Thalamus-Proper*,0.9625995238925096,0.9997457314019159,0.03103745937236585,0.04351710049004759,0.00014982379979066733,0.00010530908257205818,0.9279051254811105,0.9998501762002093,0.9689625406276341,0.9564828995099524,16037,15829,0.999894690917428
0,50,Right-Caudate,0.9314748070989807,0.9998681728241476,0.031245978955753817,0.10300004896304582,0.00010312565566486943,2.8826011428451093e-05,0.8717903610042148,0.9998968743443352,0.9687540210442462,0.8969999510369542,4662,4314,0.9999711739885715
0,51,Right-Putamen,0.9302805588687686,0.9998372424997164,0.060721669381800125,0.07640153102782893,8.969215146152809e-05,7.325256586176998e-05,0.8696494626825861,0.9999103078485385,0.9392783306181999,0.923598468972171,5509,5432,0.9999267474341382
